date,home_team,away_team,time,match_id,attacks_home,attacks_away,attempts_on_goal_home,attempts_on_goal_away,corners_home,corners_away,dangerous_attacks_home,dangerous_attacks_away,fauls_home,fauls_away,free_kicks_home,free_kicks_away,goal_kicks_home,goal_kicks_away,offsides_home,offsides_away,penalties_home,penalties_away,possesion_home,possesion_away,red_cards_home,red_cards_away,saves_home,saves_away,shots_blocked_home,shots_blocked_away,shots_off_target_home,shots_off_target_away,shots_on_target_home,shots_on_target_away,substitutions_home,substitutions_away,throw_ins_home,throw_ins_away,treatments_home,treatments_away,yellow_cards_home,yellow_cards_away,half_time_score_home,half_time_score_away,full_time_score_home,full_time_score_away
2025-04-19,Pogon Szczecin,Rakow Czestochowa,18:15,620051,63.0,45.0,19.0,5.0,13,2,80.0,27.0,13,13,,,,,1.0,0.0,0.0,0.0,66.0,34.0,0.0,1.0,0.0,7.0,4.0,3.0,10.0,5.0,8,0,,,,,,,1.0,4.0,1.0,0.0,1,0
2025-04-19,Widzew Lodz,Motor Lublin,15:30,619887,107.0,69.0,12.0,6.0,4,4,67.0,37.0,10,15,0.0,8.0,,,3.0,0.0,0.0,1.0,52.0,48.0,0.0,0.0,1.0,0.0,5.0,0.0,12.0,3.0,1,3,,,,,,,0.0,3.0,0.0,1.0,1,2
2025-04-19,Slask Wroclaw,GKS Katowice,12:45,619586,96.0,84.0,18.0,13.0,7,4,55.0,42.0,11,16,,,,,2.0,1.0,1.0,0.0,54.0,46.0,0.0,0.0,7.0,1.0,7.0,2.0,17.0,5.0,1,8,,,,,,,0.0,3.0,0.0,2.0,0,2
2025-04-19,Piast Gliwice,Korona Kielce,10:15,619476,94.0,77.0,12.0,12.0,2,7,71.0,63.0,18,14,0.0,0.0,,,3.0,1.0,0.0,0.0,55.0,45.0,0.0,0.0,3.0,4.0,2.0,3.0,7.0,8.0,5,4,,,,,,,3.0,1.0,0.0,1.0,1,1
2025-04-14,Lechia Gdansk,Stal Mielec,17:00,618386,145.0,84.0,25.0,7.0,11,1,99.0,28.0,6,8,0.0,6.0,,,2.0,3.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,4.0,10.0,2.0,18.0,7.0,7,2,,,,,,,0.0,1.0,0.0,2.0,3,2
2025-04-13,Legia Warszawa,Jagiellonia Bialystok,18:15,618220,82.0,81.0,20.0,12.0,5,3,60.0,43.0,15,15,16.0,0.0,,,1.0,2.0,0.0,0.0,60.0,40.0,0.0,1.0,1.0,4.0,8.0,5.0,17.0,10.0,4,2,,,,,,,1.0,4.0,0.0,1.0,0,1
2025-04-13,Motor Lublin,Lech Poznan,15:30,618087,91.0,80.0,15.0,13.0,6,4,69.0,65.0,11,11,3.0,0.0,,,1.0,4.0,0.0,0.0,48.0,52.0,0.0,0.0,4.0,5.0,2.0,3.0,9.0,7.0,6,6,,,,,,,0.0,1.0,0.0,2.0,1,2
2025-04-13,Piast Gliwice,Pogon Szczecin,12:45,617651,75.0,93.0,11.0,15.0,3,5,54.0,72.0,12,9,0.0,0.0,,,0.0,5.0,0.0,0.0,33.0,67.0,0.0,0.0,3.0,2.0,2.0,4.0,7.0,11.0,4,4,,,,,,,1.0,0.0,1.0,0.0,2,1
2025-04-12,Rakow Czestochowa,RKS Radomiak 1910 SA Radom,18:15,617281,91.0,57.0,17.0,12.0,9,5,93.0,56.0,10,15,0.0,12.0,,,3.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,4.0,4.0,3.0,3.0,11.0,7.0,6,5,,,,,,,1.0,3.0,0.0,0.0,2,1
2025-04-12,Cracovia,Slask Wroclaw,15:30,617052,82.0,89.0,17.0,24.0,2,6,46.0,58.0,13,12,0.0,14.0,,,3.0,0.0,0.0,0.0,49.0,51.0,0.0,0.0,4.0,3.0,7.0,6.0,13.0,15.0,4,9,,,,,,,2.0,0.0,1.0,1.0,2,4
